!Xexclamation mark
#Xnumber
$Xdollar
%Xpercent
&Xampersand
(Xleft parenthesis
)Xright parenthesis
*Xasterisk
+Xplus
,Xcomma
-Xminus
.Xperiod
/Xslash
:Xcolon
;Xsemicolon
<Xless than
=Xequality sign
>Xgreater than
?Xquestion mark
@Xat sign
[Xleft square bracket
\Xbackslash
]Xright square bracket
^Xcaret circumflex
_Xunderscore
`Xgrave accent
{Xleft curly bracket
|Xvertical bar
}Xright curly bracket
~Xtilde
"Xdouble quote
'Xsingle quote
